"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN"
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-06",,"0.08",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-07",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-08",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-09",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-10",,"0.01",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-11",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-12",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-14",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-15",,"0.03",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-16",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-17",,"1.11",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-18",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-19",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-20",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-21",,"0.09",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-22",,"0.08",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-23",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-24",,"0.01",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-25",,"0.86",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-26",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-27",,"0.00",,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2018-12-28",,"0.00",,
